protein,best model,model score
V1006625,model_4,82.45348425933454
V1162927,model_3,81.53761716249798
V1149191,model_1,38.94298360699143
V1450911,model_1,84.70499651280761
V1582966,model_4,78.67993658241964
V1299130,model_3,92.4215818699129
V1458258,model_1,89.35167519707562
V1888248,missing,missing
V1313771,model_1,86.02905774329436
V1143297,model_1,90.85596571043018
V1290863,model_3,79.77584426380871
V1888254,missing,missing
V1522030,model_1,66.29679136863295
V1329797,model_5,62.02612547571988
V1323810,model_5,66.15393465428818
V1034722,model_3,87.67044228183792
V1493841,model_1,65.5312385505785
V1000209,model_3,76.67513915974376
V1289755,model_2,69.72464361041722
V1035132,model_2,93.2368004118577
V1324672,model_4,83.49908031798978
V1006030,model_5,54.03217773269536
V1256180,model_3,65.75854310491987
V1140943,model_1,94.19638346622465
V1055048,model_5,91.4139748521846
V1089727,model_3,89.17155999427565
V1448318,model_5,76.7487788335397
V1000056,model_3,89.91532193304428
V1576588,model_1,75.49959588585263
V1394387,model_1,72.16025633476688
V1852033,model_1,69.0257009199249
V1036924,model_1,80.86856957031588
V1423298,missing,missing
V1503171,model_3,75.09455214630621
V1503140,missing,missing
V1423351,model_4,96.25925904005537
V1051520,model_5,58.781778848956364
V1607583,model_1,78.16745881536553
V1301142,missing,missing
V1170176,model_1,88.14772653508683
V1483655,model_1,69.7552036292595
V1553666,model_5,74.84094482398267
V1117693,model_1,91.60982064364129
V1550208,model_2,94.67476642707334
V1167108,model_1,61.00901351765538
V1574981,model_1,80.326674784807
V1541224,model_4,96.26184178681208
V1552748,model_3,73.38475700256365
V1035422,model_1,79.58794096754312
V1009582,model_3,89.2786165550016
V1064188,model_1,76.09207053620645
V1268269,model_4,78.1582133836423
V1576463,missing,missing
V1555325,model_3,89.72498918837627
V1596731,model_5,89.32904073136241
V1000187,model_1,93.63671807452153
V1000585,model_4,46.836770447129425
V1481346,model_1,72.34922822805525
V1167950,model_1,78.44582532108306
V1073793,model_4,91.78762485885356
V1888233,model_5,82.00414341627962
V1151337,model_4,80.74167775879687
V1458296,model_5,61.46880368393449
V1198614,model_3,90.91162083748115
V1073210,model_1,91.78472011115382
V1137175,model_1,82.31243916340769
V1064195,model_1,74.5226182654601
V1553741,missing,missing
V1033721,model_4,63.49347914375022
V1445426,model_4,93.94520452751304
V1218477,model_2,87.10598173692371
V1423353,model_3,94.13326710627453
V1000050,model_1,82.98507632124318
V1430389,model_1,89.23946781459134
V1486485,model_4,82.97492105794899
V1035130,model_5,37.46462131445413
V1430708,model_2,52.27152011311002
V1167240,model_1,86.97968062696877
V1563103,model_3,92.5346412851409
V1143369,model_2,86.10889742459214
V1183497,model_3,90.41957099836145
V1515355,model_3,77.81413859483021
V1150294,model_2,94.11499755596638
V1380784,model_5,75.83383077095611
V1448265,model_1,78.9578575095123
V1383893,model_1,81.70461077181766
V1138318,model_4,78.30814153240425
V1576522,missing,missing
V1289764,model_3,77.89924321844077
V1151987,model_1,36.18309474635994
V1034896,model_2,82.94394530987077
V1150346,model_1,70.27038974410505
V1239662,model_3,78.61605955368485
V1483968,model_1,74.34074094020242
V1000091,model_2,91.6935780730687
V1299169,model_5,82.11556042025154
V1507966,model_5,64.67661060726995
V1263194,model_1,89.55720481038153
V1164858,missing,missing
V1602989,model_4,78.06773454695215
V1425634,model_1,87.59325120028704
V1000529,model_3,94.67656779201356
V1576500,missing,missing
V1289774,model_3,89.05436323729609
V1442645,model_1,73.93852066447438
V1382010,model_1,79.45908316275428
V1445439,model_1,49.653825237382506
V1265954,model_3,66.34071332723003
V1113940,model_5,85.08321476173836
V1257303,model_3,88.58296016683593
V1458593,model_1,67.10808853967984
V1574934,model_1,89.89488514128706
V1577351,model_2,89.95185762109885
V1149293,model_1,80.68738875515857
V1235922,model_5,82.28041154203939
V1425484,model_2,67.61828196746944
V1035135,model_3,74.6796998291327
V1576592,model_1,86.03112914780596
V1046759,model_3,92.51374030049112
V1000211,model_3,83.87441287333857
V1583017,model_3,88.12191364681412
V1107196,model_5,95.11483605294046
V1291940,model_5,75.17414660478792
V1203539,model_3,91.84100419070577
V1155546,model_5,78.9169946611687
V1000583,model_3,86.86372431126993
V1852149,model_3,94.3272341001447
V1314139,model_3,85.45721668308984
V1574811,model_3,82.74545931539332
V1445154,model_2,81.33210597632417
V1395828,model_1,95.3020566279055
V1555332,model_4,81.22715153040708
V1596796,model_4,78.15473153348698
V1143274,model_5,77.26107792668749
V1168340,model_2,94.89297389179559
V1067054,model_1,81.29641421352035
V1006717,model_3,90.06233139267269
V1852073,model_1,40.39854330487426
V1006054,model_1,52.92197099731534
V1334684,model_1,47.96025494319994
V1000035,model_4,70.6272960687331
V1383818,model_1,91.18005271900086
V1886458,missing,missing
V1289807,model_1,61.535291398895104
V1299136,model_4,79.5564571516356
V1162262,model_2,65.08269973074886
V1362353,missing,missing
V1256331,model_2,75.73339631640322
V1193648,model_4,84.84070812445094
V1440586,model_3,81.1612792345585
V1235875,model_5,90.82859348893328
V1852082,model_1,78.35333415393133
V1836803,model_1,58.57809632798726
V1310508,model_5,95.39160643224388
V1037714,model_2,75.75634743072506
V1000495,model_3,96.14543100707701
V1070111,model_5,91.58244652961613
V1464438,missing,missing
V1466137,missing,missing
V1852044,model_4,87.61801493096412
V1912432,model_1,81.02654804121691
V1395279,model_3,77.0343172768608
V1150296,model_3,89.86800816874778
V1149309,model_3,91.7903880239594
V1135975,model_3,92.27834841063475
V1000030,model_2,90.61704810261949
V1547326,model_1,89.38639362792608
