protein,best model,model score
V1355740,model_1,69.77942645157007
V1032950,model_3,61.754007421294936
V1290806,model_1,48.67756327755625
V1090967,model_3,52.376634363438725
V1137030,model_3,84.79593371527405
V1265881,model_3,86.1482240789427
V1192794,model_3,64.57154698427867
V1071558,model_1,79.46260422285644
V1395127,model_3,71.86795983982812
V1099238,model_5,91.87455781043703
V1323849,model_4,91.34731422567957
V1195977,model_3,88.00131259136677
V1380848,model_1,87.39899761989113
V1401706,model_3,67.30339838745779
V1079773,model_1,76.55241940720218
V1109483,model_1,81.64946388572803
V1070250,model_1,57.21972949935357
V1070691,model_2,91.16076265986177
V1085966,model_3,87.08624229888999
V1199896,model_3,89.09769741189646
V1395640,model_3,83.20949454758461
V1037388,model_4,81.19174527206194
V1445204,model_4,93.774400183902
V1458531,model_2,93.09551218863947
V1216124,missing,missing
V1316103,model_3,60.67351052540827
V1010446,model_2,48.566643111319394
V1365703,model_3,96.72366409731104
V1301651,model_1,90.24252957134483
V1051511,model_3,87.14345676815346
V1239732,model_2,80.44880706812486
V1195159,model_4,66.60458115773925
V1355572,model_1,68.03930787062019
V1191477,model_1,89.47508163205113
V1420858,model_3,60.25849910334758
V1442878,model_4,60.51039808672761
V1151231,model_4,87.29277515282172
V1436475,model_3,87.7074894723141
V1139754,model_4,82.81837165641224
V1216119,missing,missing
V1108899,model_1,74.95431910327554
V1115862,model_1,67.2854924464106
V1385999,model_2,87.90646619570413
V1436520,model_2,93.9516310580718
V1055391,model_3,89.5292574331711
V1140732,model_3,75.75984365842476
V1078740,model_3,72.51727678650334
V1368477,model_3,91.76851299345856
V1011262,model_5,74.72228256047448
V1151026,model_5,78.96829586507963
V1068844,model_1,60.235676955803285
V1151925,model_4,80.62249831777564
V1152094,model_1,66.13383115522808
V1337347,model_1,83.5899768040706
V1330008,model_5,76.10281290116153
V1053535,model_5,92.97356108189614
V1386443,model_1,60.831748415747896
V1079381,model_3,86.76484492722449
V1445463,model_3,76.81672284587084
V1201611,missing,missing
V1071179,model_2,87.94037912769203
V1202178,missing,missing
V1009250,model_1,88.06261367636654
V1159672,model_5,74.17547586849294
V1357181,model_2,91.85442061829734
V1386378,model_4,59.213247553631746
V1056387,model_2,75.4186185467887
V1385676,model_2,81.00750887979325
V1170486,model_3,80.81574636463387
V1172422,model_3,90.67887037232664
V1071928,model_1,65.40804099616419
V1291369,model_3,82.82517434117914
V1032200,model_3,94.4681238609513
V1139714,model_5,94.6802206912066
V1141320,model_2,83.50389054671655
V1344152,model_1,62.97953668058348
V1315848,model_5,55.10600309786552
V1082634,model_4,88.57115157455554
V1037159,model_3,78.96923048198977
V1078952,model_3,92.1907139211047
V1099312,model_1,55.57216451474987
V1413261,model_1,86.7809398810125
V1243837,model_1,69.93417704341874
V1102932,model_3,86.12411257344105
V1363912,model_3,94.55271959998487
V1357231,model_1,71.42818898277086
V1203349,missing,missing
V1144622,model_5,52.27423838184698
V1054308,model_2,96.0789338975384
V1268250,model_2,79.03115008111482
V1409616,model_4,88.18500210792246
V1141755,model_5,91.23037830722146
V1099745,model_4,74.002416664807
V1199789,model_3,88.02617257269252
V1071370,model_1,86.78270520864321
V1195221,model_1,69.28456325170373
V1013300,model_1,86.81704670531512
V1369874,model_2,83.605286290697
V1151463,model_5,83.16690197586969
V1194989,model_3,74.91438312576976
V1238879,model_3,88.39697732479192
V1039405,model_3,87.13751101984948
V1374996,model_3,81.74078496556483
V1330439,model_3,78.5293431872768
V1055668,model_5,89.16588626698254
V1136971,model_1,64.37089548529771
V1172450,model_3,83.53277151850331
V1195223,model_3,94.62801582641131
V1265966,model_3,93.39106879051502
V1409084,model_3,93.95408291226016
V1240389,model_1,48.98502087998708
V1216084,missing,missing
V1136969,model_1,61.63274088348544
V1195132,model_3,49.692950824126136
V1011330,model_2,93.63926476545448
V1242575,model_1,56.44092781820207
V1242130,model_3,76.6169854926689
V1347125,model_5,81.75208477736992
V1430049,model_1,66.3240277191052
V1083964,model_3,92.15021861560271
V1070401,model_4,77.5076979327583
V1295306,model_2,91.10402802614848
V1314679,model_1,81.09629943332313
V1141162,model_1,64.88187570636593
V1073961,model_5,74.83815892534518
V1198672,model_5,67.48065303418853
V1151792,model_2,86.65394191624532
V1402580,model_5,77.30453630649335
V1043366,model_3,93.2171241203732
V1405450,model_1,80.03038514051967
V1198634,model_1,58.211508956093965
V1068593,model_4,90.47878743450514
V1409850,model_5,79.60901314398421
V1357816,model_2,76.45376095711772
V1442353,model_1,36.90459538890119
V1244362,model_1,76.89075230797124
V1240950,model_1,67.17942974534283
V1150973,model_1,93.9216813150335
